reg,id,data,categoria_forze_armate,categoria_personale_scolastico,prima_dose,seconda_dose,giornaliere,scorte_consegnate,totale_scorte,cumulative,cumulative_prime,cumulative_seconde,perc_scorte,pop,cumul_1000ab,cumul_prime_1000ab,cumul_seconde_1000ab,pc_seconde_dosi,giornaliere_5ma,prime_dosi_5ma,seconde_dosi_5ma,giornaliere_1000ab,giornaliere_1000ab_5ma,prime_dosi_1000ab,prime_dosi_1000ab_5ma,seconde_dosi_1000ab,seconde_dosi_1000ab_5ma,scorte_disponibili,scorte_disp_1000ab,attesa_seconda_dose,aumento_giorn,pc_seconde_dosi_5ma,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,dimessi_guariti,deceduti,tamponi,ingressi_terapia_intensiva,nuovi_ospedalizzati,area,giorno,settimana
P.A. Trento,994.0,2021-02-23,3.0,48.0,875.0,211.0,1086.0,4680.0,56050.0,37630.0,24191.0,13439.0,67.1364852809991,545425.0,68.99207040381354,44.35256909749278,24.639501306320756,19.429097605893187,653.8,504.2,149.6,1.9911078516752991,1.1986982628225695,1.9911078516752991,1.1986982628225695,0.3868542879405968,0.2742815235825274,18420.0,33.77182930742082,10752.0,0.48158253751705327,35.9411922698448,174,32,206,2786,2992,28085,1197,592138,2.0,1.0,PAT,1,9
P.A. Trento,995.0,2021-02-24,1.0,65.0,907.0,395.0,1302.0,0.0,56050.0,38932.0,25098.0,13834.0,69.45941123996433,545425.0,71.37919970665078,46.015492505844065,25.36370720080671,30.337941628264208,736.0,519.0,217.0,2.387129302837237,1.349406426181418,2.387129302837237,1.349406426181418,0.7242058944859514,0.39785488380620615,17118.0,31.384700004583586,11264.0,0.19889502762430933,40.70687262692301,170,35,205,2865,3070,28361,1200,596262,3.0,-1.0,PAT,2,9
P.A. Trento,996.0,2021-02-25,1.0,92.0,1112.0,465.0,1577.0,0.0,56050.0,40509.0,26210.0,14299.0,72.27297056199822,545425.0,74.27052298666177,48.054269606270346,26.21625338039144,29.486366518706404,970.6,717.2,253.4,2.8913232800110005,1.7795297245267452,2.8913232800110005,1.7795297245267452,0.8525461795847276,0.4645918320575698,15541.0,28.49337672457258,11911.0,0.21121351766513063,32.594244940565275,168,36,204,3111,3315,28519,1203,600202,5.0,-1.0,PAT,3,9
P.A. Trento,997.0,2021-02-26,1.0,105.0,883.0,324.0,1207.0,0.0,56050.0,41716.0,27093.0,14623.0,74.4264049955397,545425.0,76.48347618829352,49.67319063115919,26.810285557134346,26.843413421706714,1181.0,885.2,295.8,2.212953201631755,2.165283952880781,2.212953201631755,2.165283952880781,0.5940321767429069,0.5423293761745428,14334.0,26.280423522940826,12470.0,-0.2346227013316423,23.511314721680815,173,38,211,3310,3521,28663,1204,603677,4.0,7.0,PAT,4,9
P.A. Trento,998.0,2021-02-27,3.0,111.0,597.0,423.0,1020.0,3800.0,59850.0,42736.0,27690.0,15046.0,71.40517961570593,545425.0,78.35357748544713,50.76774991978732,27.58582756565981,41.47058823529412,1238.4,874.8,363.6,1.870101297153596,2.2705229866617773,1.870101297153596,2.2705229866617773,0.7755420085254617,0.6666361094559289,17114.0,31.37736627400651,12644.0,-0.15492957746478875,29.513481481972928,173,38,211,3444,3655,28868,1206,607688,2.0,0.0,PAT,5,9
P.A. Trento,999.0,2021-02-28,0.0,11.0,242.0,0.0,242.0,2000.0,61850.0,42978.0,27932.0,15046.0,69.4874696847211,545425.0,78.79726818536004,51.211440619700234,27.58582756565981,0.0,1069.6,748.2,321.4,0.443690699912912,1.9610395563092997,0.443690699912912,1.9610395563092997,0.0,0.5892652518678094,18872.0,34.600540862630055,12886.0,-0.7627450980392156,25.627661960794292,185,39,224,3709,3933,28919,1206,610402,2.0,13.0,PAT,6,9
P.A. Trento,1000.0,2021-03-01,3.0,95.0,937.0,298.0,1235.0,0.0,61850.0,44213.0,28869.0,15344.0,71.4842360549717,545425.0,81.0615575010313,52.92936700737957,28.132190493651738,24.129554655870443,1056.2,754.2,302.0,2.264289315671266,1.936471558876106,2.264289315671266,1.936471558876106,0.5463629279919329,0.5536966585690059,17637.0,32.33625154695879,13525.0,4.103305785123967,24.385984566315535,190,42,232,3465,3697,29210,1208,611545,4.0,8.0,PAT,0,10
P.A. Trento,1001.0,2021-03-02,0.0,144.0,884.0,390.0,1274.0,5850.0,67700.0,45487.0,29753.0,15734.0,67.1890694239291,545425.0,83.39735068982904,54.550121464912685,28.847229224916347,30.612244897959183,995.6,708.6,287.0,2.3357931887977266,1.825365540633451,2.3357931887977266,1.825365540633451,0.7150387312646102,0.5261951689049824,22213.0,40.726039327130216,14019.0,0.03157894736842115,24.61116024216609,191,42,233,3435,3668,29458,1209,614605,2.0,1.0,PAT,1,10
P.A. Trento,1002.0,2021-03-03,19.0,201.0,1069.0,556.0,1625.0,0.0,67700.0,47112.0,30822.0,16290.0,69.58936484490398,545425.0,86.37667873676492,56.510060961635425,29.866617775129487,34.215384615384615,1079.2,745.8,333.4,2.9793280469358754,1.9786405096942754,2.9793280469358754,1.9786405096942754,1.0193885502131366,0.6112664435990283,20588.0,37.74671128019434,14532.0,0.2755102040816326,26.08555448090167,182,47,229,3524,3753,29728,1211,618666,5.0,-4.0,PAT,2,10
P.A. Trento,1003.0,2021-03-04,20.0,345.0,1468.0,848.0,2316.0,0.0,67700.0,49428.0,32290.0,17138.0,73.01033973412112,545425.0,90.62290874089013,59.201540083421186,31.421368657468946,36.61485319516407,1338.4,920.0,418.4,4.2462300041252234,2.4538662510886007,4.2462300041252234,2.4538662510886007,1.55475088233946,0.767108218361828,18272.0,33.50048127606912,15152.0,0.4252307692307693,25.114407472875662,180,46,226,3475,3701,30007,1213,622418,3.0,-3.0,PAT,3,10
